"time","class","mean","stderr","lower","upper"
0,0,93.319330247029,0.0607392308354212,93.2002813545916,93.4383791394664
5,0,88.6198539641275,0.0651328530223166,88.4921935722038,88.7475143560513
10,0,83.5884143293531,0.0621063369777176,83.4666859088768,83.7101427498295
15,0,81.7072397976396,0.0588321148728848,81.5919288524888,81.8225507427905
20,0,81.4581999893295,0.0586049029210929,81.3433343796042,81.5730655990549
25,0,81.4722058462528,0.0607664687057402,81.3531035675896,81.5913081249161
30,0,81.3449252090729,0.0655705109147873,81.2164070076799,81.4734434104658
35,0,81.2779057755836,0.0738877543598126,81.1330857770384,81.4227257741289
40,0,81.3893810029147,0.0866267442426932,81.219592584199,81.5591694216303
45,0,81.4440800436514,0.102656732569599,81.242872847815,81.6452872394878
50,0,81.5098849331225,0.126075940399956,81.2627760899386,81.7569937763064
55,0,81.5973407532192,0.161536101162393,81.280729994941,81.9139515114975
60,0,82.0044855551584,0.220679139793242,81.5719544411637,82.4370166691532
0,1,78.6173726317761,0.0710135131055505,78.4781861460892,78.7565591174629
5,1,70.2564793257927,0.0750384682557873,70.1094039280113,70.403554723574
10,1,65.73116432353,0.0637481584583507,65.6062179329516,65.8561107141084
15,1,66.3060263475123,0.0625062209623892,66.183514154426,66.4285385405986
20,1,67.6236665628456,0.0667452953657504,67.4928457839287,67.7544873417625
25,1,68.2802161459736,0.0704503872116876,68.1421333870387,68.4182989049085
30,1,68.7194022845304,0.0772684753462373,68.5679560728518,68.870848496209
35,1,68.9140727363176,0.0873363480662235,68.7428934941078,69.0852519785274
40,1,69.2871915911515,0.106459122678151,69.0785317107024,69.4958514716007
45,1,69.5440623557485,0.130983886702746,69.2873339378111,69.8007907736858
50,1,69.6911058994542,0.163954900737776,69.3697542940082,70.0124575049003
55,1,69.2884161202027,0.211093699748433,68.8746724686957,69.7021597717096
60,1,68.8398572931573,0.25386216573557,68.3422874483156,69.337427137999
0,2,98.3298495225226,0.14189522828076,98.0517348750923,98.6079641699528
5,2,92.1532540356408,0.157726437260307,91.8441102186106,92.462397852671
10,2,80.8941210167442,0.186434685886515,80.5287090324066,81.2595330010818
15,2,73.2133618403197,0.183323678585456,72.8540474302922,73.5726762503472
20,2,70.0029067167655,0.172681058237327,69.6644518426203,70.3413615909107
25,2,68.9124985091979,0.16036415752454,68.5981847604498,69.226812257946
30,2,67.9952835388929,0.155724724626995,67.690063078624,68.3005039991618
35,2,67.7613179183496,0.16597173862224,67.43601331065,68.0866225260492
40,2,67.7624226272983,0.175024867334616,67.4193738873225,68.1054713672742
45,2,68.1701319661668,0.210729282891957,67.7571025716986,68.5831613606351
50,2,68.959609912295,0.246227460142719,68.4770040904152,69.4422157341747
55,2,69.5009830839463,0.32646001499706,68.8611214545521,70.1408447133406
60,2,70.346297792104,0.392502543188112,69.5769928074553,71.1156027767527
0,3,92.5055523748812,0.291458278616153,91.9342941487936,93.0768106009689
5,3,73.2656738293755,0.328333429653655,72.6221403072543,73.9092073514966
10,3,60.3936881645462,0.286877617134167,59.8314080349632,60.9559682941292
15,3,62.1238251255801,0.28783775839297,61.5596631191298,62.6879871320303
20,3,69.8324913402401,0.335325636905468,69.1752530919054,70.4897295885749
25,3,77.6928041287219,0.344145274188166,77.0182793913131,78.3673288661307
30,3,81.7831616913985,0.337897925923548,81.1208817565883,82.4454416262086
35,3,84.4470514829435,0.357409372192212,83.7465291134467,85.1475738524402
40,3,85.8966585297102,0.396888538103371,85.1187569950275,86.6745600643928
45,3,86.012920379132,0.477845955668593,85.0763423060215,86.9494984522424
50,3,84.4158412158677,0.584017593483728,83.2711667326396,85.5605156990958
55,3,84.4595910137703,0.996156787342987,82.507123710578,86.4120583169625
60,3,82.4187675759569,1.01591489872665,80.4275743744527,84.4099607774612
0,4,55.5293357545689,0.525841743028027,54.498685938234,56.5599855709039
5,4,59.1690097223704,0.580710020278538,58.0308180826245,60.3072013621164
10,4,70.2561631833746,0.583967952744953,69.1115859959945,71.4007403707547
15,4,79.7377686345339,0.521992852694022,78.7146626432537,80.7608746258142
20,4,83.0736335515692,0.46094838883452,82.1701747094536,83.9770923936849
25,4,82.9013629999306,0.429614923213308,82.0593177504325,83.7434082494287
30,4,81.7813673472329,0.418452650389183,80.9612001524701,82.6015345419957
35,4,80.3372180745631,0.436888645433182,79.4809163295141,81.1935198196122
40,4,79.8505613076688,0.496867706075132,78.8767006037615,80.824422011576
45,4,79.5252618321104,0.618713800105247,78.3125827839041,80.7379408803167
50,4,79.5236314001631,0.750041323372099,78.0535504063538,80.9937123939724
55,4,81.0179191231804,0.886115487065091,79.2811327685328,82.754705477828
60,4,79.9154505421049,1.08012890575128,77.7983978868324,82.0325031973775
